name,venues,deceased,photo_url,bio,bio_source,gap_fill_added
Ricky Velez,"nycc,the_stand",,https://newyorkcomedyclub.com/img/comedians/ricky-velez1-b0890a34-thumb-image.jpg?1605290500,"Ricky Velez is a New-York based actor and stand-up comedian who was named one of Variety's ""Ten Comics to Watch."" He currently appears as a correspondent on Comedy Central's THE NIGHTLY SHOW with Larr",nycc,no
Jessica Levin,nycc,,https://newyorkcomedyclub.com/img/comedians/Screen-Shot-2022-12-28-at-10-58-05-AM-f5120f65-main-image-63011576-thumb-image.png?1689017778,"Jessica Levin is an NYC comedian. The daughter of a sanitation worker, with longshoreman genes, she has a blue collar mentality with white color taste. When she's not in the clubs, she attempts to go ",nycc,no
Bo Bigelow,nycc,,https://newyorkcomedyclub.com/img/comedians/328F1CE4-E8D8-4888-AF37-2EA8690F93FF-ae990dce-thumb-image.png?1771946987,"Bo Bigelow is a 25 year old comedian from the garden state, New Jersey, who blends stories about his childhood with his absurd goofy nature and delivery. He began his comedy career in Los Angeles, CA ",nycc,no
Rachel Williams,"nycc,the_stand",,https://newyorkcomedyclub.com/img/comedians/image0-76cf07de-thumb-image.jpg?1715105247,"Rachel Williams is a stand up comedian from Long Island, NY who started her comedy career right out of college. Now you can catch her performing stand up almost every night all over the city. She’s be",nycc,no
Richard Villa,nycc,,https://newyorkcomedyclub.com/img/comedians/New-Richard-Solo-e5bd0b8d-thumb-image.jpg?1754941093,"Richard Villa is a bilingual (English/Spanish) stand-up comedian and actor whose comedic influences draw from life experiences growing up as a Mexican-American Latino in Compton, California. His cross",nycc,no
Corinne Fisher,"nycc,the_stand",,https://newyorkcomedyclub.com/img/comedians/Corinne-82850876-thumb-image.jpg?1682009173,"CORINNE FISHER is a stand-up comedian, writer, director & actor originally from Union, NJ and currently residing in New York City. Most recently, she directed the debut comedy special from her and her",nycc,no
Jessica Kirson,"nycc,the_stand",,https://newyorkcomedyclub.com/img/comedians/JessicaKirson-copy-0b3e0cdb-thumb-image.jpg?1681397286,"Jessica Kirson is a powerhouse on stage. She’s a hilariously relatable performer of sheer silliness, vulnerability, and ridiculous characters. Her countless comedic character videos have racked up ove",nycc,no
Juan Nicolon,nycc,,https://newyorkcomedyclub.com/img/comedians/Juan-Nicolon-Headshot-2da40d8e-thumb-image.jpg?1709221926,"Juan is a stand up comedian, writer and occasional nude model. His comedy has been described as ""Larry David meets Sofia Vergara"", a thing he takes as a big compliment. He is a long time writer and pe",nycc,no
Samantha Santos,nycc,,https://newyorkcomedyclub.com/img/comedians/Samantha-Santos-d40d0b5c-main-image-134611f7-thumb-image.jpg?1703007443,Samantha Santos is a NYC based stand up comedian and podcaster. She has her “Soft Launch” Podcast Every Wednesday.,nycc,no
Maddy Smith,"nycc,the_stand",,https://newyorkcomedyclub.com/img/comedians/Maddy-Smith-Headshot-New-5a4e0e73-thumb-image.jpg?1758053609,"Maddy Smith is a cast member on MTV’s Wild N Out, a nationally touring comedian, and a social media icon. Originally from Buffalo, Maddy is known for her quick wit and cutting roasts, and her seemingl",nycc,no
Nick Griffin,"nycc,comedy_cellar",,https://newyorkcomedyclub.com/img/imagetest/nick-griffin-b9450a51-thumb-image.jpg?1479710207,"Nick Griffin has been featured on Conan, The Late Late Show with Craig Ferguson, in his own half-hour special-Comedy Central Presents: Nick Griffin and is a frequent guest on the nationally syndicated",nycc,no
Mike Yard,"nycc,comedy_cellar",,https://newyorkcomedyclub.com/img/comedians/IMG-0937-7e45078b-thumb-image.jpg?1686250588,"Born on the luscious island of, St. Croix in the United States Virgin Islands, Mike Yard, moved with his family To East New York Brooklyn in 1986. ""Culture shock anyone"". Mike Started his comedy caree",nycc,no
Neko White,nycc,,https://newyorkcomedyclub.com/img/imagetest/neko-white-a3c709b3-thumb-image.jpg?1479710185,"Funny, smart, fresh, and magnetic, Neko White is a star. A comedian born and raised in Harlem, Neko has brought his unique perspective and sharp comedy from New York to international audiences. Beginn",nycc,no
Jon Fisch,"nycc,comedy_cellar",,https://newyorkcomedyclub.com/img/comedians/jonfisch-copy-c9370ae9-thumb-image.jpg?1619721478,"Jon has appeared on the Late Show with Stephen Colbert and the Late Show with David Letterman, has been featured in Maxim Magazine, and was the host of the widely popular podcast, “In the Tank”. A pro",nycc,no
Damien Lemon,"nycc,the_stand",,https://newyorkcomedyclub.com/img/comedians/Damien-Lemon-2024-Color-Headshot-bc4b1069-thumb-image.jpg?1710867410,"Damien Lemon is a comedian, writer, and actor. Damien was host of TruTV's ""Comedy Knockout"", a long-time cast member and writer for various MTV2 shows, including ""Guy Code"", ""Hip-Hop Squares"", and ""Un",nycc,no
Blair Socci,nycc,,https://newyorkcomedyclub.com/img/imagetest/blair-socci-a2ee09be-thumb-image.jpg?1479710200,"BLAIR SOCCI is an NYC-based comedian from Southern California. She recently starred in the MTV series, LADYLIKE, this past summer. Blair can also be seen on a new comedy series for FUSE TV called UPRO",nycc,no
Derek Gaines,"nycc,the_stand",,https://newyorkcomedyclub.com/img/imagetest/derek-gaines-b93b0a58-derek-gaines.jpg?1725656403,"The man with the smile of a thousand angels, Derek Gaines, a California-born New Jersey resident, raised a new face in the wonderful art of comedy. July 29th, 1984, was the day that Lindenwold's only ",nycc,no
Leonard Ouzts,"nycc,the_stand,comedy_cellar",,https://newyorkcomedyclub.com/img/comedians/Leonard-Ouzts-Headshot-41980e1b-thumb-image.jpg?1709933803,"Leonard Ouzts is one of the most popular and most televised young comedians on the circuit today. Originally hailing from Chesapeke, VA, his work has been featured on every platform from HBO to MTV to",nycc,no
Gary Vider,"nycc,the_stand,comedy_cellar",,https://newyorkcomedyclub.com/img/imagetest/ezgif-5-f9e5c9a5da-jpg-21790cc3-ezgif-5-f9e5c9a5da-jpg.jpg?1689778342,His subtle style of humor took him all the way to the finals on season 10 of America’s Got Talent. His dry delivery has also earned him TV appearances on CONAN and The Late Show with Stephen Colbert. ,nycc,no
Jamie Lee,nycc,,https://newyorkcomedyclub.com/img/comedians/jamie-lee-95ed090a-thumb-image.jpg?1529511185,"Jamie Lee is a stand-up comedian, actress, and writer. She appeared on MTV's Girl Code and starred in the HBO series Crashing. She's a published author and performs at clubs across the country.",nycc,no
Christian Finnegan,"nycc,the_stand",,https://newyorkcomedyclub.com/img/comedians/ChristianFinnegan-ViaArtist-990e1035-thumb-image.jpg?1680112539,"Christian Finnegan is perhaps best known as one of the original panelists on VH1’s “Best Week Ever” and as Chad, the only white roommate in “Chappelle’s Show’s” infamous “Mad Real World” sketch. He pl",nycc,no
Molly Densmore,nycc,,https://newyorkcomedyclub.com/img/comedians/mollydensmore-cda60b30-thumb-image.jpg?1655475647,"Molly Densmore is a comic, actor and writer hailing from Woodstock, NY. Her credits include principal roles in movies on HBO and Amazon, national and international commercials and Off-Broadway. She pr",nycc,no
Rich Vos,"nycc,the_stand",,https://newyorkcomedyclub.com/img/imagetest/rich-vos-8d7408c7-rich-vos.jpg?1649960523,"Rich Vos is an incredibly gifted comic who not only has sharp, insightful material, but he is also a master at working the crowd. His ability to perform in front of any audience has landed him televis",nycc,no
Tocarra Elise,nycc,,https://newyorkcomedyclub.com/img/imagetest/tmallardphoto1-jpg-0db60cda-tmallardphoto1-jpg.jpg?1747937513,"Tocarra Elise is a comedian, writer, and actress based in New York City most known for her work as a writer on the Emmy-nominated show ""The Problem with Jon Stewart"" on Apple TV+. She was also a corre",nycc,no
Brittany Brave,"nycc,the_stand",,https://newyorkcomedyclub.com/img/comedians/BritneyBrave-afb90a3b-thumb-image.jpg?1635259031,"Brittany Brave is a NYC-via-Miami based comedian, actress, writer, producer and host. She's been seen on TBS, MTV, Quibi, The Wendy Williams Show, SiriusXM and featured in The New York Times, ELLE, As",nycc,no
Marcus Monroe,nycc,,https://newyorkcomedyclub.com/img/comedians/MarcusMonroeHeadshot-2a630dbd-thumb-image.jpg?1602527888,Marcus Monroe is a New York City based comedian. His show is a high energy blend of in your face comedic banter riddled with awkwardness. He is the recipient of the prestigious Andy Kaufman Award and ,nycc,no
Matt Ruby,"nycc,comedy_cellar",,https://newyorkcomedyclub.com/img/comedians/ruby-68840766-thumb-image.jpg?1710883877,"Matt Ruby is a comedian from New York City. His smart and dark brand of standup is ""button-pushing"" and ""funny"" according to the NY Times. His comedy has been filmed by Comedy Central, MTV, NBC/Seeso,",nycc,no
Jenny Zigrino,"nycc,the_stand",,https://newyorkcomedyclub.com/img/comedians/jenny-zigrino-c8140af9-thumb-image.jpg?1515711530,"Jenny Zigrino is a stand-up comedian and actress. She's appeared on Brooklyn Nine-Nine, Conan, and Comedy Central. She performs at clubs across the country.",nycc,no
James Mattern,"nycc,comedy_cellar",,https://newyorkcomedyclub.com/img/comedians/James-Mattern-2023-Headshot-2-7fa70ef7-thumb-image.jpg?1750794838,"James Mattern is a nationally headlining comic and media personality, who has quickly become one of the most beloved emcees in New York. James has released two albums, ""No Segues"" in 2019 and ""The Che",nycc,no
Sam Evans,nycc,,https://newyorkcomedyclub.com/img/comedians/sam-evans-9705092e-thumb-image.jpg?1543892006,"One of NY’s brightest and funniest young comedians, Sam Evans is a comic originally from Cincinnati Ohio. After winning the 2012 Funniest Person in Cincinnati competition, Sam relocated to New York Ci",nycc,no
Calise Hawkins,nycc,,https://newyorkcomedyclub.com/img/comedians/calise-hawkins-d3db0b45-thumb-image.jpg?1548366721,"Calise Hawkins is a comedian and writer. Most recently, she wrote for “Hood Adjacent” and “@midnight” on Comedy Central. Calise has appeared as a stand up on numerous television shows including “Late ",nycc,no
Meghan Hanley,nycc,,https://newyorkcomedyclub.com/img/imagetest/meghan-hanley-jpg-fad60c4b-meghan-hanley-jpg.jpg?1631459499,"MEGHAN HANLEY is a National Touring stand-up comic, writer and baseball blogger. She has appeared on AXSTV’s “Gotham Comedy Live,” DreamsTv, as well as Fox’s “Laughs,” and “Red Eye.” Hanley, know for ",nycc,no
Greg Stone,nycc,,https://newyorkcomedyclub.com/img/comedians/GregStone-9934094c-thumb-image.jpg?1678825686,"Greg Stone is a NYC based comedian who has been on AXS TV's Gotham Comedy Live, America's Got Talent and is a regular on Sirius XM and NPR’s Snap Judgement",nycc,no
Nathan Macintosh,"nycc,comedy_cellar",,https://newyorkcomedyclub.com/img/comedians/NathanMac-9722091d-thumb-image.jpg?1678735671,"Energetic, loud, never understated and always funny, Nathan Macintosh is quickly becoming one of the names to know in comedy. Most recently appearing on The Tonight Show Starring Jimmy Fallon on NBC, ",nycc,no
Myka Fox,"nycc,the_stand",,https://newyorkcomedyclub.com/img/comedians/myka-fox-headshot-1-fa490c4b-thumb-image.jpg?1659475033,"Myka Fox is a NYC comedian, writer, and radio personality known for her quick, off-the-cuff style and sharply written jokes. She currently writes for Comedy Central and Spike networks, has contributed",nycc,no
Eric Neumann,"nycc,comedy_cellar",,https://newyorkcomedyclub.com/img/comedians/EricNeumannHeadshot-18b50d39-thumb-image.jpg?1650992864,"Eric Neumann is one of the fastest-rising standup comedians in the United States. In February 2022, he made his late-night debut on The Tonight Show Starring Jimmy Fallon on NBC. He has recorded three",nycc,no
Alex Pavone,nycc,,https://newyorkcomedyclub.com/img/comedians/AlexPavone-a2f309ad-thumb-image.jpg?1653588324,"Alex Pavone is a comedian from Toronto, now based in New York City. Pavone has been featured on CBC, MTV and SiriusXM Radio. He has performed at festivals like JFL42 and Montreal's Just for Laughs, as",nycc,no
Adam Gulley,nycc,,https://newyorkcomedyclub.com/img/comedians/Adam-Gulley-a91709ba-thumb-image.jpg?1709915205,"Adam Gulley is a New York based comedian originally from Moline, Illinois and tours the country regularly. Adam has performed at The New York Comedy Festival, and worked with the likes of Hannibal Bur",nycc,no
Gracie Canaan,nycc,,https://newyorkcomedyclub.com/img/comedians/PNG-image-91fc08cb-thumb-image.jpg?1729189168,"Gracie Canaan began her comedy career in Philadelphia in 2015, and since then has performed at major comedy clubs, colleges and notable venues in New York and along the east coast. She has made appear",nycc,no
Corey O&#039;Brien,nycc,,https://newyorkcomedyclub.com/img/comedians/IMG-2748-1-8df507f2-thumb-image.jpg?1769109793,"Corey O’Brien’s Red Tour fearlessly brings sharp, unapologetic comedy to red states, challenging divides while creating a space where everyone—left, right, and in between—can laugh together. Bold, pro",nycc,no
Tracey Carnazzo,nycc,,https://newyorkcomedyclub.com/img/comedians/tracy-62210770-thumb-image.jpg?1665765502,"Tracey Carnazzo is a comedian and podcast host from New York City. Her OCD and love for reality TV has shaped who she is today. Tracey hosts the podcasts Teen Mom Trash Talk, 90 Day Fiancé Trash Talk ",nycc,no
Phil Duckett,nycc,,https://newyorkcomedyclub.com/img/imagetest/phil-duckett-headshot-jpg-74620f56-phil-duckett-headshot-jpg.jpg?1712090108,"Regarded as one of the hottest rising stars in the city, Phil Duckett is taking NYC by storm. A native of South Carolina, his country grammar and southern charm bring a fresh perspective on life in th",nycc,no
Sienna Hubert-Ross,"nycc,the_stand",,https://newyorkcomedyclub.com/img/comedians/Sienna-Hubert-Ross-Headshot-90c30fda-thumb-image.jpg?1697062279,"Sienna Hubert-Ross is a New York-based comic, actor, and writer originally from Boston, MA. She can be seen in a multitude of films, including ""She Came From The Woods"" (released in theaters in 2023),",nycc,no
Andre D Thompson,nycc,,https://newyorkcomedyclub.com/img/comedians/andre-thompson-c85e0b22-thumb-image.jpg?1572020185,"Andre D Thompson was born and raised in New York City where he began stand up at 18. He’s performed at comedy clubs all over the city such The Comic Strip Live, New York Comedy Club and Carolines on B",nycc,no
Tyler Horvath,nycc,,https://newyorkcomedyclub.com/img/comedians/90E7E8A8-3FEB-4515-8E5C-0A398B312C4B-ab690da8-thumb-image.jpg?1706533776,"Tyler Horvath is a standup comedian based in New York City. His laid-back observational style has been making people laugh around the country for the better part of a decade, and his standup clips hav",nycc,no
Vinny &quot;The Dancing Ump&quot; Chapman,nycc,,https://newyorkcomedyclub.com/img/comedians/image-1-1-90a30869-thumb-image.png?1764086599,UMPIRE UNMASKED throws out the same old boring comedy shows and brings the heat with a lineup of standup heavy hitters who aren’t afraid to swing for the fences. This high-energy showcase brings toget,nycc,no
Izzy Uncut,nycc,,https://newyorkcomedyclub.com/img/comedians/Izzy-Uncut-99110965-thumb-image.jpg?1748442583,"Izzy Uncut is a drag queen, comedian, and silly lil girl. Drawn to comedy due to being raised an only child, she’s high on life + 50 vodka Red Bulls a week. Izzy’s objective is simple… arrive, garner ",nycc,no
Mahesh Kotagi,nycc,,https://newyorkcomedyclub.com/img/comedians/mahesh-7a2d082f-thumb-image.jpg?1722459249,"Mahesh Kotagi is a comedian and actor who has been on Laughs on Fox and has recently been featured on the following comedy festivals: Burbank Comedy Festival 2019, Red Clay Comedy Festival 2019, San L",nycc,no
Eagle Witt,"nycc,comedy_cellar",,https://newyorkcomedyclub.com/img/imagetest/eagle-witt-headshot-jpeg-62a40ef1-eagle-witt-headshot-jpeg.jpg?1710439217,"A stand-up, writer, and actor, Eagle is a born and raised New Yorker. At 28 years old, he performs at all the major clubs in the city, including as a regular at the Comedy Cellar. Eagle has been featu",nycc,no
Zar the Star,nycc,,https://newyorkcomedyclub.com/img/comedians/IMG-9145-7ced0778-thumb-image.jpg?1770222628,"Zar the Star is an Afghan/Tajik Muslim stand-up comedian known for her viral prank calls and unfiltered online comedy. Her raw, honest, and edgy humor has racked up over 100 million views and 800K+ fo",nycc,no
Shaun Murphy,"nycc,comedy_cellar",,https://newyorkcomedyclub.com/img/comedians/ShaunMurphy-b1450a43-thumb-image.jpg?1582237997,"Shaun Murphy is a comedian originally from Buffalo, NY who has performed in many clubs and colleges throughout North America. He has told jokes at prestigious places like the Boston Comedy Festival an",nycc,no
Colin Cab Washington,nycc,,https://newyorkcomedyclub.com/img/comedians/unnamed-13-a030092e-thumb-image.jpg?1764625828,"Colin “Cab” Washington is a Philly-born actor, writer, comedian and producer known for blending sharp observational humor with personal storytelling. His credits include ""Insecure"" (HBO), BuzzFeed, Cr",nycc,no
Jamell Sirleaf,nycc,,https://newyorkcomedyclub.com/img/comedians/IMG-0415-1-8afd07d3-thumb-image.jpg?1730322254,"Jamell Sirleaf is a Liberian-American comedian, based out of New York City. He also most recently featured at Essence Festival of Culture in July 2024 and was the winner of the 2024 Jersey City comedy",nycc,no
Myq Kaplan,"nycc,the_stand",,https://newyorkcomedyclub.com/img/imagetest/myq-kaplan-a39409a5-thumb-image.jpg?1479710239,"Myq Kaplan is a comedian named Myq Kaplan (pronounced &ldquo;Mike Kaplan&rdquo; when done correctly or however you like, he&rsquo;s not picky). The Comedians magazine calls him &ldquo;a comedy machine",nycc,no
Caitlin Peluffo,"nycc,the_stand,comedy_cellar",,https://newyorkcomedyclub.com/img/comedians/Caitlin-845e0893-thumb-image.jpg?1675983489,"Originally hailing from San Francisco, CA, Caitlin Peluffo is a comedian based in NYC. After a brief six year stint in art school studying performative video art (no, really…that’s a thing) Caitlin ex",nycc,no
Cansu,nycc,,https://newyorkcomedyclub.com/img/imagetest/img-0633-jpeg-aba00976-img-0633-jpeg.jpg?1708460535,Cansu Karabiyik is a UK comic who recently made the move to NYC. She was a regular on the London circuit and performed in more than 15 cities across the UK. She is the founder of the non-profit Laugh ,nycc,no
Lizzy Cassidy,nycc,,https://newyorkcomedyclub.com/img/comedians/lizzie-7b78084e-thumb-image.jpg?1632755046,"Lizzy Cassidy is a stand up comedian based in New York City, who performs all over the country. She has been featured on Sirius XM and is a reoccurring guest on popular podcasts like Keith and The Gir",nycc,no
Masood Boomgaard,nycc,,https://newyorkcomedyclub.com/img/imagetest/w-masoodboomgaard1-jpg-448d0e22-w-masoodboomgaard1-jpg.jpg?1708455811,"Masood Boomgaard is a comedian, actor, social media content creator, film maker and MC who has been active in the entertainment industry for over a decade. As a live stand-up comedy performer he has p",nycc,no
KP Anderson,nycc,,https://newyorkcomedyclub.com/img/comedians/B93A8724-7b5f076e-thumb-image.jpg?1707151319,"In addition to being a respected comic, K.P. Anderson is an Emmy Award Winning writer and producer. Most known as the Executive Producer and Head Writer of THE SOUP with Joel McHale, KP has also serve",nycc,no
Jake Silberman,nycc,,https://newyorkcomedyclub.com/img/comedians/Jake-Silberman-c1aa0ab4-thumb-image.png?1711103660,,none,no
Kerryn Feehan,"nycc,the_stand",,https://newyorkcomedyclub.com/img/comedians/feehan-79ee0819-thumb-image.jpg?1746735098,"Kerryn Feehan is an nyc based comic. She’s been featured on season 1 and 2 of Tires on Netflix, Comedy Central, TruTv, TLC, Sirius Xm, Barstool Sports, Slamdance film festival and countless podcasts s",nycc,no
Brandon Barrera,nycc,,https://newyorkcomedyclub.com/img/comedians/Screen-Shot-2022-09-07-at-3-50-51-PM-d8850f19-thumb-image.png?1662580256,"Brandon Barrera is a New York comedian originally from Ft. Lauderdale, Florida. By telling unique and funny stories about himself, Brandon's goal is to leave an audience feeling as if they’ve known hi",nycc,no
Raanan Hershberg,nycc,,https://newyorkcomedyclub.com/img/imagetest/raanan-hershberg-headshot-jpg-bf7e10fb-raanan-hershberg-headshot-jpg.jpg?1699914451,"Raanan has performed his high-energy, joke-packed comedy on The Tonight Show with Jimmy Fallon, The Late, Late Show with James Corden, After Midnight on CBS, and Comedy Central. His second to last spe",nycc,no
Shaunak Godkhindi,nycc,,/photos/shaunak_godkhindi.jpg,"Shaunak Godkhindi is an Atlanta comedian who performs all around the country at clubs and indie venues. He has also been a performer at SXSW, Laughing Skull Fest, Red Clay Comedy Festival, and New Sou",stand,no
